,IXIC,RUA,VIX,DJI,GSPC,RUT,BTCUSDT,LTCUSDT,XRPUSDT,ETHUSDT
2018-05-13,7408.506510333333,1619.2200109999999,12.836666666666664,24876.66341133333,2729.326579,1602.489990333333,8679.71,144.24,0.7299899999999999,729.08
2018-05-14,7411.319823999998,1619.400024,12.93,24899.410156,2730.129883,1600.339966,8663.34,147.42,0.7269399999999999,727.49
2018-05-15,7351.629883,1609.650024,14.63,24706.410156,2711.449951,1600.339966,8462.0,139.35,0.6890000000000001,704.91
2018-05-16,7398.299805,1617.030029,13.42,24768.929688,2722.459961,1616.369995,8330.0,138.92,0.70585,706.29
2018-05-17,7382.470215,1616.810059,13.43,24713.980469,2720.129883,1625.290039,8041.46,132.31,0.6584899999999999,667.62
2018-05-18,7354.339844,1613.47998,13.42,24715.089844,2712.969971,1626.630005,8239.81,135.95,0.67766,692.6
2018-05-19,7367.573242333334,1617.4366453333334,13.306666666666667,24814.489583666666,2719.649984,1630.233317,8233.49,134.95,0.6733899999999999,697.0
2018-05-20,7380.806640666668,1621.3933106666666,13.193333333333333,24913.88932333333,2726.329997,1633.836629,8526.98,139.64,0.6994,716.16
2018-05-21,7394.040039,1625.349976,13.08,25013.289063,2733.01001,1637.439941,8381.24,134.25,0.6761199999999999,696.7
2018-05-22,7378.459961,1619.25,13.22,24834.410156,2724.439941,1625.23999,7977.11,127.89,0.6378199999999999,640.99
2018-05-23,7425.959961,1624.0,12.58,24886.810547,2733.290039,1627.609985,7501.95,118.37,0.5919800000000001,577.19
2018-05-24,7424.430176000002,1621.369995,12.53,24811.759766,2727.76001,1628.219971,7575.01,122.58,0.6281399999999999,602.18
2018-05-25,7433.850098000001,1618.01001,13.22,24753.089844,2721.330078,1626.930054,7457.0,118.87,0.60459,585.55
2018-05-26,7424.5350345000015,1613.91250625,14.17,24655.17968775,2713.46258525,1626.1100465,7333.96,118.45,0.60852,586.0
2018-05-27,7415.2199709999995,1609.8150025,15.12,24557.2695315,2705.5950925,1625.290039,7338.99,117.71,0.60416,570.4
2018-05-28,7405.9049075,1605.71749875,16.07,24459.35937525,2697.72759975,1624.4700315,7099.0,110.82,0.54689,511.5
2018-05-29,7396.589844,1601.619995,17.02,24361.449219,2689.860107,1623.650024,7461.29,119.28,0.5999800000000001,567.36
2018-05-30,7462.450195,1622.140015,14.94,24667.779297,2724.01001,1647.98999,7375.96,117.18,0.60149,557.19
2018-05-31,7442.120117,1610.670044,15.43,24415.839844,2705.27002,1633.609985,7485.01,118.25,0.6114,577.81
2018-06-01,7554.330078,1627.400024,13.46,24635.210938,2734.6201170000004,1647.97998,7521.01,120.19,0.62151,579.0
2018-06-02,7571.7067056666665,1629.930012666667,13.22,24694.70377633333,2738.703450333334,1649.7766516666668,7640.03,123.44,0.64269,590.85
2018-06-03,7589.083333333332,1632.4600013333334,12.98,24754.19661466667,2742.786783666667,1651.573323333333,7714.26,125.33,0.6901,619.66
2018-06-04,7606.459961,1634.98999,12.74,24813.689453,2746.8701170000004,1653.369995,7487.0,119.77,0.6550699999999999,591.02
2018-06-05,7637.859863,1637.380005,12.4,24799.980469,2748.800049,1664.630005,7625.0,122.18,0.67464,609.05
2018-06-06,7689.240234000001,1651.26001,11.64,25146.390625,2772.350098,1675.949951,7658.84,121.61,0.6741,607.4
2018-06-07,7635.069823999998,1649.420044,12.13,25241.410156,2770.3701170000004,1667.77002,7691.08,121.54,0.67756,605.16
2018-06-08,7645.509765999999,1654.73999,12.18,25316.529297,2779.030029,1672.48999,7603.44,119.68,0.6721,598.68
2018-06-09,7650.316569333332,1655.3033446666666,12.236666666666665,25318.45638033333,2780.020019333333,1673.220011333333,7491.73,117.4,0.6574,592.87
2018-06-10,7655.123372666668,1655.8666993333334,12.293333333333333,25320.38346366667,2781.010009666666,1673.9500326666666,6764.99,106.48,0.58201,524.11
2018-06-11,7659.930176000002,1656.430054,12.35,25322.310547,2782.0,1674.680054,6872.0,107.2,0.5998899999999999,531.69
2018-06-12,7703.790039,1660.030029,12.34,25320.730469,2786.850098,1682.300049,6530.0,99.68,0.5556,493.0
2018-06-13,7695.700195,1653.160034,12.94,25201.199219,2775.629883,1676.540039,6292.78,93.37,0.52862,475.47
2018-06-14,7761.040039,1657.630005,12.12,25175.310547,2782.48999,1684.719971,6635.98,100.88,0.55769,519.29
2018-06-15,7746.379883,1656.180054,11.98,25090.480469,2779.659912,1683.910034,6388.9,95.5,0.53258,487.48
2018-06-16,7746.596517,1655.5633546666666,12.09,25056.14388033333,2777.689941333333,1686.760009666667,6483.98,96.66,0.53275,496.74
2018-06-17,7746.8131509999985,1654.9466553333334,12.2,25021.807291666664,2775.719970666666,1689.609985333333,6449.61,94.95,0.52617,497.14
2018-06-18,7747.029785,1654.329956,12.31,24987.470703,2773.75,1692.459961,6712.46,98.7,0.5387,517.95
2018-06-19,7725.589844,1648.109985,13.35,24700.210938,2762.590088,1693.449951,6741.21,98.67,0.5483399999999999,537.97
2018-06-20,7781.509765999999,1652.449951,12.79,24657.800781,2767.320068,1706.9899899999998,6761.51,97.72,0.5391600000000001,536.49
2018-06-21,7712.950195,1640.930054,14.64,24461.699219,2749.76001,1688.949951,6718.84,96.72,0.53457,526.18
2018-06-22,7692.819823999998,1643.390015,13.77,24580.890625,2754.879883,1685.5799559999996,6045.0,84.8,0.48216000000000003,462.09
2018-06-23,7639.216471333332,1635.520019666667,14.956666666666665,24471.52734366667,2742.276611333333,1676.2233073333332,6149.98,82.73,0.49005,473.41
2018-06-24,7585.613118666666,1627.650024333333,16.14333333333333,24362.16406233333,2729.6733396666664,1666.8666586666666,6136.97,80.37,0.47331000000000006,454.41
2018-06-25,7532.009765999999,1619.780029,17.33,24252.800781,2717.070068,1657.51001,6252.0,81.48,0.48125,458.7
2018-06-26,7561.629883,1624.089966,15.92,24283.109375,2723.060059,1668.530029,6070.78,75.54,0.45299999999999996,429.34
2018-06-27,7445.080078,1608.390015,17.91,24117.589844,2699.629883,1640.449951,6133.73,80.6,0.4701,441.64
2018-06-28,7503.680176000002,1617.959961,16.85,24216.050781,2716.310059,1645.02002,5853.98,74.05,0.44575,420.22
2018-06-29,7510.299805,1618.98999,16.09,24271.410156,2718.3701170000004,1643.069946,6197.92,78.94,0.45321000000000006,434.77
2018-06-30,7529.429850333332,1620.7899983333334,15.926666666666666,24283.333333333336,2721.1500650000007,1647.0766193333334,6390.07,81.33,0.46796000000000004,454.09
2018-07-01,7548.559895666666,1622.5900066666666,15.763333333333335,24295.256510666666,2723.9300129999997,1651.083292666667,6356.81,79.95,0.46221999999999996,452.1
2018-07-02,7567.689941,1624.390015,15.6,24307.179688,2726.709961,1655.089966,6615.29,85.36,0.4899,476.25
2018-07-03,7502.669922,1618.040039,16.139999,24174.820313,2713.219971,1660.420044,6513.86,85.09,0.4844,461.82
2018-07-04,7544.5500489999995,1625.1050415,15.5549995,24265.7802735,2724.915039,1669.950012,6586.98,85.28,0.49096999999999996,467.38
2018-07-05,7586.430176000002,1632.170044,14.97,24356.740234,2736.610107,1679.47998,6529.2,83.33,0.4769,467.87
2018-07-06,7688.390137,1646.300049,13.37,24456.480469,2759.820068,1694.050049,6609.78,83.1,0.47698,470.47
2018-07-07,7710.993489666667,1651.0100506666665,13.143333333333333,24563.183594,2767.936686,1697.5666913333334,6756.98,84.79,0.48494,485.57
2018-07-08,7733.5968423333325,1655.7200523333331,12.916666666666664,24669.886719,2776.053304,1701.083333666667,6712.1,82.22,0.47915,486.77
2018-07-09,7756.200195,1660.430054,12.69,24776.589844,2784.169922,1704.5999760000002,6662.12,80.46,0.473,471.71
2018-07-10,7759.200195,1664.530029,12.64,24919.660156,2793.840088,1695.619995,6296.91,75.81,0.44337,432.48
2018-07-11,7716.609863,1652.859985,13.63,24700.449219,2774.02002,1683.660034,6378.07,78.18,0.44872,444.99
2018-07-12,7823.919922,1666.280029,12.58,24924.890625,2798.290039,1690.280029,6250.57,76.79,0.43675,431.14
2018-07-13,7825.97998,1667.359985,12.18,25019.410156,2801.310059,1687.0799559999996,6214.57,76.53,0.43754,432.46
2018-07-14,7819.226725,1666.3566486666666,12.396666666666668,25034.393228999998,2800.3500166666668,1684.2333170000002,6251.99,76.18,0.43864,433.19
2018-07-15,7812.47347,1665.3533123333334,12.613333333333333,25049.376302,2799.389974333333,1681.3866779999996,6353.01,78.54,0.44681000000000004,449.78
2018-07-16,7805.720215,1664.349976,12.83,25064.359375,2798.429932,1678.540039,6723.35,83.49,0.48173,478.49
2018-07-17,7855.120117,1671.530029,12.06,25119.890625,2809.550049,1687.2600100000002,7317.44,89.06,0.5072800000000001,498.76
2018-07-18,7854.439941,1675.459961,12.1,25199.289063,2815.6201170000004,1691.869995,7381.9,86.21,0.48868,479.41
2018-07-19,7825.299805,1670.790039,12.87,25064.5,2804.48999,1701.310059,7466.21,86.0,0.47686999999999996,468.57
2018-07-20,7820.200195,1668.439941,12.86,25058.119141,2801.830078,1696.810059,7337.53,81.87,0.44438999999999995,449.04
2018-07-21,7827.423502333334,1669.276611,12.78,25053.509115,2803.5467120000003,1697.343384,7398.78,83.44,0.45506,460.23
2018-07-22,7834.646809666668,1670.113281,12.7,25048.899089,2805.263346,1697.876709,7394.79,82.21,0.44859,457.47
2018-07-23,7841.870117,1670.949951,12.62,25044.289063,2806.97998,1698.410034,7721.01,81.38,0.44498999999999994,450.05
2018-07-24,7840.77002,1674.47998,12.41,25241.939453,2820.399902,1680.199951,8397.24,89.12,0.45885,479.28
2018-07-25,7932.240234000001,1688.5999760000002,12.29,25414.099609,2846.070068,1685.199951,8175.64,86.38,0.4598,472.1
2018-07-26,7852.180176000002,1685.5999760000002,12.14,25527.070313,2837.439941,1695.359985,7920.0,83.37,0.44968,462.64
2018-07-27,7737.419922,1672.0,13.03,25451.060547,2818.820068,1663.339966,8188.57,84.39,0.4555,470.09
2018-07-28,7701.613281333332,1668.483317,13.44,25402.983724,2813.413411333333,1659.936645666667,8225.04,84.07,0.45641000000000004,469.29
2018-07-29,7665.806640666668,1664.9666339999999,13.85,25354.906901,2808.0067546666664,1656.533325333333,8211.0,83.85,0.45315,466.4
2018-07-30,7630.0,1661.449951,14.26,25306.830078,2802.600098,1653.130005,8173.92,82.18,0.44533999999999996,456.23
2018-07-31,7671.790039,1670.959961,12.83,25415.189453,2816.290039,1670.800049,7730.93,78.69,0.4353,432.22
2018-08-01,7707.290039,1669.400024,13.15,25333.820313,2813.360107,1669.26001,7604.58,77.53,0.44642,420.41
2018-08-02,7802.689941,1679.310059,12.19,25326.160156,2827.219971,1682.0999760000002,7525.71,76.11,0.42975,410.62
2018-08-03,7812.009765999999,1685.030029,11.64,25462.580078,2840.350098,1673.369995,7418.78,77.7,0.44033,417.52
2018-08-04,7827.899902666666,1687.3033446666668,11.516666666666667,25475.779948,2843.700032666666,1677.016683,7009.84,73.13,0.42985,407.21
2018-08-05,7843.790039333334,1689.5766603333334,11.393333333333333,25488.979818,2847.049967333333,1680.663371,7024.19,74.61,0.4345,408.79
2018-08-06,7859.680176000002,1691.8499760000002,11.27,25502.179688,2850.399902,1684.310059,6934.82,73.62,0.4129,405.28
2018-08-07,7883.660156,1696.800049,10.93,25628.910156,2858.449951,1688.300049,6720.06,67.35,0.37863,378.21
2018-08-08,7888.330078,1695.949951,10.85,25583.75,2857.699951,1686.880005,6285.0,62.13,0.33171,355.48
2018-08-09,7891.779785,1694.540039,11.27,25509.230469,2853.580078,1690.890015,6529.79,62.89,0.3441,363.3
2018-08-10,7839.109863,1683.689941,13.16,25313.140625,2833.280029,1686.800049,6144.01,59.16,0.31897,331.81
2018-08-11,7832.643228999998,1681.2399493333335,13.7,25271.326823,2829.4966633333333,1682.973348,6232.35,57.6,0.29784,317.69
2018-08-12,7826.176595,1678.7899576666666,14.24,25229.513021000002,2825.7132976666667,1679.1466469999998,6308.33,59.32,0.29546999999999995,317.89
2018-08-13,7819.709961,1676.339966,14.78,25187.699219,2821.929932,1675.319946,6246.35,56.44,0.2743,283.81
2018-08-14,7870.890137,1687.609985,13.31,25299.919922,2839.959961,1692.5799559999996,6188.08,54.24,0.2725,278.41
2018-08-15,7774.120117,1673.599976,14.64,25162.410156,2818.3701170000004,1670.670044,6267.16,54.32,0.28039000000000003,281.12
